case_name,method,eval_mode,branch,n,acc,macro_f1,ECE,NLL,Brier,conf_mean,entropy_mean,margin_mean
case_A,BayesMMRL,standard,main,3783,0.8413957357406616,0.8371342400949745,0.013176986947655678,0.5419785976409912,0.22639185190200806,0.8425976037979126,0.4884192645549774,0.750113308429718
case_A,BayesMMRL,standard,rep,3783,0.8326724767684937,0.8256264455065773,0.08636355400085449,0.787937581539154,0.2606145441532135,0.917909562587738,0.23290354013442993,0.8609262108802795
case_A,BayesMMRL,standard,fusion,3783,0.8638646602630615,0.8610969126958511,0.029750004410743713,0.471398264169693,0.19774983823299408,0.8878425359725952,0.337556391954422,0.8167703747749329
case_A,BayesMMRL,posterior_mean,main,3783,0.8376949429512024,0.833658246089531,0.013065353967249393,0.5587480068206787,0.23125073313713074,0.8482801914215088,0.4679568409919739,0.7579901218414307
case_A,BayesMMRL,posterior_mean,rep,3783,0.8160190582275391,0.8084617713461469,0.09967181086540222,0.9615606665611267,0.2923123240470886,0.9151336550712585,0.2316945493221283,0.8545257449150085
case_A,BayesMMRL,posterior_mean,fusion,3783,0.8546127676963806,0.8508679747701839,0.03842300921678543,0.5172629356384277,0.21286122500896454,0.8927428722381592,0.3210355043411255,0.8237435221672058
case_A,BayesMMRL,mc_prob_mean_probs,main,3783,0.84298175573349,0.8388579789142561,0.015594730153679848,0.5366314649581909,0.22331742942333221,0.8328320980072021,0.5200538039207458,0.7366706132888794
case_A,BayesMMRL,mc_prob_mean_probs,rep,3783,0.8400740027427673,0.833360240894817,0.03487073630094528,0.6924092173576355,0.24004311859607697,0.8742961287498474,0.3595818281173706,0.795695960521698
case_A,BayesMMRL,mc_prob_mean_probs,fusion,3783,0.8667724132537842,0.8629884474623883,0.013898763805627823,0.46318385004997253,0.19288082420825958,0.8765201568603516,0.3751515746116638,0.8006589412689209
case_A,BayesMMRL,mc_logit_mean,main,3783,0.8435104489326477,0.8393921284978537,0.011843418702483177,0.5389941334724426,0.2235468327999115,0.8435859680175781,0.48501652479171753,0.7518581748008728
case_A,BayesMMRL,mc_logit_mean,rep,3783,0.8400740027427673,0.8331271276120227,0.07707701623439789,0.7838017344474792,0.252282977104187,0.9165944457054138,0.2335694432258606,0.8583917021751404
case_A,BayesMMRL,mc_logit_mean,fusion,3783,0.8667724132537842,0.8631828164882371,0.022491049021482468,0.4704698622226715,0.19426411390304565,0.8889682292938232,0.33658501505851746,0.818909227848053
case_A,BayesMMRL,mc_majority_vote_pred,main,3783,0.8435104489326477,0.8387021320689756,,,,,,
case_A,BayesMMRL,mc_majority_vote_pred,rep,3783,0.8395453095436096,0.8323553793453988,,,,,,
case_A,BayesMMRL,mc_majority_vote_pred,fusion,3783,0.8680940866470337,0.8644850119542408,,,,,,
case_B,MMRL,standard,main,3783,0.8638646602630615,0.859994105510446,0.025516092777252197,0.46821779012680054,0.19444093108177185,0.8418761491775513,0.540473997592926,0.7596055269241333
case_B,MMRL,standard,rep,3783,0.8236849308013916,0.8153920922205122,0.09338264167308807,0.8764218688011169,0.2750674784183502,0.9170674085617065,0.2361225187778473,0.8595907092094421
case_B,MMRL,standard,fusion,3783,0.8736452460289001,0.869240887538191,0.01684851199388504,0.440714955329895,0.18181370198726654,0.8892266750335693,0.3499068021774292,0.8225115537643433
