score,auroc,aurc,eaurc
neg_margin_final,0.9286713665943601,0.00707294118026607,0.004906088134050933
one_minus_msp_final,0.9039777657266811,0.009081732095567473,0.006914879049352335
one_minus_cos_text_support,0.880851409978308,0.011471293600782837,0.0093044405545677
conflict_aware_error_score,0.8493763557483731,0.01452275543581361,0.012355902389598472
one_minus_msp_text,0.8471339479392623,0.013697332165432953,0.011530479119217816
top1_disagree_text_support,0.8295688720173535,0.026243148209866656,0.024076295163651517
one_minus_msp_support,0.8283514099783081,0.015942662022431768,0.01377580897621663
margin_conflict_text_support,0.826024945770065,0.02663060199123684,0.0244637489450217
entropy_text,0.8103253796095444,0.016651981134989963,0.014485128088774826
entropy_final,0.7717841648590021,0.024205185125662956,0.022038332079447817
entropy_support,0.7253877440347071,0.030784839422700085,0.028617986376484945
js_text_support,0.6986334056399133,0.03287334032583695,0.03070648727962181
energy_final,0.48962174620390464,0.06513744143852077,0.06297058839230563
