score,auroc,aurc,eaurc,noise_rate
one_minus_msp_final,0.9039777657266811,0.009081732095567473,0.006914879049352335,0.0
one_minus_cos_text_support,0.880851409978308,0.011471293600782837,0.0093044405545677,0.0
conflict_aware_error_score,0.8493763557483731,0.01452275543581361,0.012355902389598472,0.0
top1_disagree_text_support,0.8295688720173535,0.026243148209866656,0.024076295163651517,0.0
one_minus_msp_support,0.8283514099783081,0.015942662022431768,0.01377580897621663,0.0
margin_conflict_text_support,0.826024945770065,0.02663060199123684,0.0244637489450217,0.0
entropy_final,0.7717841648590021,0.024205185125662956,0.022038332079447817,0.0
entropy_support,0.7253877440347071,0.030784839422700085,0.028617986376484945,0.0
js_text_support,0.6986334056399133,0.03287334032583695,0.03070648727962181,0.0
energy_final,0.48962174620390464,0.06513744143852077,0.06297058839230563,0.0
one_minus_msp_final,0.9036673999309869,0.009157165267418851,0.0069629163216043625,0.1
one_minus_cos_text_support,0.8770569142512077,0.011943064379705179,0.00974881543389069,0.1
conflict_aware_error_score,0.8529966787439612,0.01412196471440832,0.011927715768593831,0.1
top1_disagree_text_support,0.8370953567115251,0.0248833047473019,0.02268905580148741,0.1
margin_conflict_text_support,0.8341582556935817,0.02527314135369147,0.023078892407876982,0.1
one_minus_msp_support,0.8230838077984817,0.016590462430503543,0.014396213484689054,0.1
entropy_final,0.7748150664251208,0.02358963858452053,0.02139538963870604,0.1
entropy_support,0.7230255779848171,0.0306860471013912,0.02849179815557671,0.1
js_text_support,0.6881631728778469,0.03359974104892037,0.03140549210310588,0.1
energy_final,0.45223942158385094,0.07086340212979951,0.06866915318398502,0.1
one_minus_msp_final,0.9045192440190374,0.009298463073289395,0.007020969665724302,0.2
one_minus_cos_text_support,0.8753961692159294,0.012363388849786152,0.01008589544222106,0.2
conflict_aware_error_score,0.8632990958332009,0.013359873684395323,0.01108238027683023,0.2
top1_disagree_text_support,0.8343323687474163,0.027112974832325755,0.024835481424760664,0.2
margin_conflict_text_support,0.8316347081332613,0.027356354335778637,0.025078860928213542,0.2
one_minus_msp_support,0.8248508071782151,0.016681737623763092,0.014404244216197999,0.2
entropy_final,0.7892565268547078,0.02200504571146625,0.019727552303901157,0.2
entropy_support,0.7326321535705579,0.0293479364196108,0.027070443012045704,0.2
js_text_support,0.6824100868127325,0.03372573236243751,0.03144823895487242,0.2
energy_final,0.48261360384138396,0.06908058833455406,0.06680309492698897,0.2
one_minus_msp_final,0.899884943093476,0.00993440547068891,0.007543450808564037,0.4
conflict_aware_error_score,0.8740386010738644,0.012578532898402836,0.010187578236277963,0.4
one_minus_cos_text_support,0.8633362356697142,0.014337523751739746,0.011946569089614873,0.4
top1_disagree_text_support,0.8389332877251904,0.029016932358799045,0.026625977696674172,0.4
margin_conflict_text_support,0.8363548728154737,0.02927549327049493,0.02688453860837006,0.4
one_minus_msp_support,0.8198763397392044,0.0177323099290109,0.015341355266886028,0.4
entropy_final,0.7998683583141571,0.021022246800813972,0.0186312921386891,0.4
entropy_support,0.7332778779774861,0.030349340325868748,0.027958385663743875,0.4
js_text_support,0.6417843149449591,0.03932059598937505,0.03692964132725017,0.4
energy_final,0.5064473329601759,0.06404548852104058,0.06165453385891571,0.4
