score,auroc,aurc,eaurc,prompt_mode,target_error
one_minus_cos_text_support,0.887398720486875,0.013826809429680478,0.010695572188505273,original,text_error
one_minus_msp_text,0.8750641589675906,0.014345277704096195,0.01121404046292099,original,text_error
top1_disagree_text_support,0.8601907354450798,0.027068959699389,0.023937722458213795,original,text_error
margin_conflict_text_support,0.8571798467517231,0.027278794427197068,0.02414755718602186,original,text_error
entropy_text,0.8388899582050154,0.017717178373630568,0.014585941132455362,original,text_error
js_text_support,0.6787927115412817,0.043423946465788,0.0402927092246128,original,text_error
ignorance_score,0.6178875201642469,0.05639788544694306,0.053266648205767854,original,text_error
margin_conflict_text_support,0.9049063503740233,0.03271419289913036,0.02464367372857414,weak_blend_mean,text_error
top1_disagree_text_support,0.9002367351139932,0.033216631992024466,0.02514611282146825,weak_blend_mean,text_error
one_minus_cos_text_support,0.8539280773294341,0.033598237773241064,0.025527718602684848,weak_blend_mean,text_error
one_minus_msp_text,0.7661317421827463,0.048416761362319045,0.04034624219176283,weak_blend_mean,text_error
entropy_text,0.6744952728659782,0.07172872027044971,0.0636582010998935,weak_blend_mean,text_error
ignorance_score,0.6714271010241367,0.07612703774643693,0.06805651857588071,weak_blend_mean,text_error
js_text_support,0.6564101632624642,0.07588752283726896,0.06781700366671274,weak_blend_mean,text_error
margin_conflict_text_support,0.9988104357791022,0.7834569045076473,0.0006334899995148469,coarse_alphabetic_groups,text_error
top1_disagree_text_support,0.9882709590627977,0.7895761600630276,0.006752745554895134,coarse_alphabetic_groups,text_error
entropy_text,0.5974664150520357,0.9367242022310424,0.15390078772290994,coarse_alphabetic_groups,text_error
ignorance_score,0.5850538417941867,0.9363292128704711,0.15350579836233869,coarse_alphabetic_groups,text_error
one_minus_msp_text,0.5740706140268929,0.9395174919079657,0.15669407739983332,coarse_alphabetic_groups,text_error
one_minus_cos_text_support,0.5417779936847218,0.9485080934170359,0.16568467890890348,coarse_alphabetic_groups,text_error
js_text_support,0.38343516252187615,0.965727515002681,0.18290410049454853,coarse_alphabetic_groups,text_error
one_minus_cos_text_support,1.0,0.9881476150197375,0.0,wrong_permutation,text_error
top1_disagree_text_support,0.9997968305566842,0.9881476150197375,0.0,wrong_permutation,text_error
margin_conflict_text_support,0.9997968305566842,0.9881476150197375,0.0,wrong_permutation,text_error
js_text_support,0.9855749695245835,0.9929121794924269,0.00476456447268947,wrong_permutation,text_error
entropy_text,0.3116619260463226,0.9993447588419812,0.011197143822243683,wrong_permutation,text_error
one_minus_msp_text,0.28850060950832995,0.9994137029521757,0.011266087932438218,wrong_permutation,text_error
ignorance_score,0.12667614790735474,0.9997684493175286,0.01162083429779115,wrong_permutation,text_error
